ANON_ID,Run_year,Sample_date,Nitrate as N_mean,"Nitrogen, Total Oxidised as N_mean"
J9_2021,2021.0,2021-09-10,0.254,0.255
K5_2021,2021.0,2021-09-06,2.34,2.35
J51_2021,2021.0,2021-09-03,0.0041848220769789,0.0051886837978042
G34_2021,2021.0,2021-10-26,,
D45_2021,2021.0,2021-09-16,0.0048636165577342,0.0058665128483532
P63_2021,2021.0,2021-09-22,5.486666666666667,5.5
D38_2021,2021.0,2021-09-15,0.16525,0.16625
R66_2021,2021.0,2021-05-13,,
I16_2021,2021.0,2021-09-08,0.249,0.25
P53_2021,2021.0,2021-09-22,0.0175,0.02
Q44_2021,2021.0,2021-11-11,0.5589999999999999,0.56
P60_2021,2021.0,2021-09-22,0.0040272331154684,0.0050330256967064
I13_2021,2021.0,2021-09-08,9.083333333333334,9.1
F19_2021,2021.0,2021-09-28,0.0013700006011963,0.0051553504644709
D51_2021,2021.0,2021-09-15,0.2689999999999999,0.2699999999999999
I29_2021,2021.0,2021-09-08,,
T11_2021,2021.0,2021-09-15,8.01,8.075
D46_2021,2021.0,2021-03-17,,
H21_2021,2021.0,2021-09-01,6.952500000000001,7.025
L39_2021,2021.0,2021-10-14,11.7,11.75
P15_2021,2021.0,2021-11-16,0.0090499999999999,0.01005
P45_2021,2021.0,2021-09-22,4.549,4.613333333333333
F45_2021,2021.0,2021-09-23,0.359,0.36
U21_2023,2023.0,2023-11-17,6.7775,6.825
U57_2023,2023.0,2023-11-09,0.20145,0.2025
U19_2023,2023.0,2023-11-14,5.33283996783273,5.3745543492829375
U51_2023,2023.0,2023-11-30,2.23,2.233333333333333
U14_2023,2023.0,2023-11-15,10.186666666666667,10.266666666666667
U46_2023,2023.0,2023-11-30,0.556,0.56
U12_2023,2023.0,2023-11-22,1.9966666666666668,2.0
U44_2023,2023.0,2023-11-16,5.623333333333334,5.733333333333333
U7_2023,2023.0,2023-11-14,2.220666666666667,2.23
U35_2023,2023.0,2023-11-06,2.653333333333333,2.6666666666666665
U4_2023,2023.0,2023-11-17,5.346666666666667,5.366666666666667
U31_2023,2023.0,2023-11-14,2.010333333333333,2.02
U2_2023,2023.0,2023-11-16,3.856666666666667,3.866666666666667
U27_2023,2023.0,2023-11-16,6.05,6.066666666666667
T52_2023,2023.0,2023-11-24,1.5933333333333335,1.6000000000000003
O17_2023,2023.0,2023-09-06,1.90325,1.915
O8_2023,2023.0,2023-09-07,6.516666666666667,6.633333333333333
N61_2023,2023.0,2023-10-02,0.044,0.0453333333333333
N49_2023,2023.0,2023-09-29,2.513333333333333,2.6333333333333333
N39_2023,2023.0,2023-09-14,6.863333333333333,6.966666666666666
N26_2023,2023.0,2023-10-16,0.1533333333333333,0.1543333333333333
N15_2023,2023.0,2023-11-01,0.354,0.3718315239244067
N2_2023,2023.0,2023-09-27,1.3533333333333333,1.3666666666666665
M57_2023,2023.0,2023-10-17,4.303333333333334,4.333333333333333
T10_2023,2023.0,2023-11-10,0.44125,0.445
O29_2023,2023.0,2023-09-15,4.4350000000000005,4.449999999999999
O16_2023,2023.0,2023-09-08,2.8825,2.95
O7_2023,2023.0,2023-09-08,2.766666666666667,2.766666666666667
N59_2023,2023.0,2023-10-02,9.206666666666669,9.3
N46_2023,2023.0,2023-09-15,2.8866666666666667,2.9
N37_2023,2023.0,2023-09-14,0.7160000000000001,0.73
N25_2023,2023.0,2023-10-16,6.016666666666666,6.033333333333334
N14_2023,2023.0,2023-10-31,8.39,8.4
N1_2023,2023.0,2023-10-06,0.0953499999999999,0.0963499999999999
M56_2023,2023.0,2023-10-17,4.82,4.866666666666666
T41_2023,2023.0,2023-11-23,6.59,6.633333333333333
O37_2023,2023.0,2023-09-13,6.3566666666666665,6.366666666666667
O28_2023,2023.0,2023-09-15,0.902,0.91
O15_2023,2023.0,2023-09-08,0.964,0.994554349282938
O6_2023,2023.0,2023-09-07,4.18,4.2
N45_2023,2023.0,2023-09-15,8.25,8.266666666666667
N36_2023,2023.0,2023-10-16,2.4933333333333336,2.5000000000000004
N22_2023,2023.0,2023-10-25,4.123333333333334,4.133333333333333
N11_2023,2023.0,2023-10-24,2.65,2.6666666666666665
M66_2023,2023.0,2023-10-06,2.195,2.2
M54_2023,2023.0,2023-10-11,4.63,4.65
T40_2023,2023.0,2023-11-23,8.236666666666666,8.299999999999999
O36_2023,2023.0,2023-09-13,4.522333333333333,4.529999999999999
O24_2023,2023.0,2023-09-07,8.696666666666665,8.733333333333333
O14_2023,2023.0,2023-09-08,1.54,1.55
O5_2023,2023.0,2023-09-06,1.2,1.2
N56_2023,2023.0,2023-09-14,0.5523333333333333,0.5533333333333333
N44_2023,2023.0,2023-09-15,3.09,3.1
N35_2023,2023.0,2023-10-17,7.5865,7.6118315239244065
N21_2023,2023.0,2023-10-25,1.83,1.85
N8_2023,2023.0,2023-10-23,0.123,0.124
M64_2023,2023.0,2023-10-09,0.4135666666666666,0.415
M49_2023,2023.0,2023-10-11,3.1425,3.15
T35_2023,2023.0,2023-11-23,8.706666666666667,8.733333333333334
O35_2023,2023.0,2023-09-13,3.2740000000000005,3.28
O23_2023,2023.0,2023-09-07,1.7033333333333331,1.7333333333333334
