genus,num_genomes,reference taxa level,taxon label used,nitrogen cycle metabolic process(GO:0071941),nitrogen fixation(GO:0009399),"anaerobic respiration, using ammonium as electron donor(GO:0019331)",denitrification pathway(GO:0019333),"aerobic respiration, using ammonia as electron donor(GO:0019409)",urea metabolic process(GO:0019627),nitrate assimilation(GO:0042128)
966-1,7,family,Nitrosomonadaceae,0.0,1.0,0.0,0.0,0.0,1.0,0.0
AAP99,4,family,Sutterellaceae,1.0,0.0,0.0,1.0,0.0,0.0,0.0
AKYG587,3,family,Phycisphaeraceae,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Acanthopleuribacter,1,family,Acanthopleuribacteraceae,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Acidicapsa,17,manual,Acidobacteriaceae,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Acidiferrimicrobium,1,family,Acidimicrobiaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acidiphilium,1,False,Acidiphilium,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acidisphaera,33,family,Acetobacteraceae,0.0,1.0,0.0,1.0,0.0,1.0,1.0
Acidocella,33,family,Acetobacteraceae,0.0,1.0,0.0,1.0,0.0,1.0,1.0
Acidothermus,1,False,Acidothermus,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acidovorax,3,False,Acidovorax,0.0,1.0,0.0,1.0,0.0,1.0,1.0
Acinetobacter,32,False,Acinetobacter,0.0,1.0,0.0,0.0,0.0,1.0,1.0
Actimicrobium,39,family,Oxalobacteraceae,0.0,1.0,0.0,1.0,0.0,1.0,1.0
Actinomycetospora,40,family,Pseudonocardiaceae,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Actinoplanes,6,False,Actinoplanes,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Adhaeribacter,2,False,Adhaeribacter,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Advenella,2,False,Advenella,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Aequorivita,5,False,Aequorivita,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aerococcus,7,False,Aerococcus,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Aeromicrobium,5,False,Aeromicrobium,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Aeromonas,16,False,Aeromonas,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Aestuariicella,10,family,Cellvibrionaceae,0.0,1.0,0.0,0.0,0.0,1.0,1.0
Aetherobacter,3,family,Polyangiaceae,0.0,1.0,0.0,0.0,0.0,1.0,1.0
Afipia,2,False,Afipia,0.0,1.0,0.0,1.0,0.0,0.0,1.0
Agathobacter,1,False,Agathobacter,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agitococcus,54,family,Moraxellaceae,0.0,1.0,0.0,0.0,0.0,1.0,1.0
Agriterribacter,32,family,Chitinophagaceae,1.0,0.0,0.0,1.0,0.0,1.0,1.0
Agrobacterium,7,False,Agrobacterium,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Agrococcus,1,False,Agrococcus,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agromyces,10,False,Agromyces,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Ahniella,1,False,Ahniella,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algibacter,1,False,Algibacter,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algisphaera,3,family,Phycisphaeraceae,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Algoriphagus,2,False,Algoriphagus,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Aliihoeflea,66,family,Rhizobiaceae,0.0,1.0,0.0,1.0,0.0,1.0,1.0
Alistipes,7,False,Alistipes,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aliterella,33,manual,,0.0,1.0,0.0,1.0,0.0,1.0,1.0
Alkanindiges,54,family,Moraxellaceae,0.0,1.0,0.0,0.0,0.0,1.0,1.0
Allorhizobium,2,False,Allorhizobium,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Alteraurantiacibacter,49,family,Sphingomonadaceae,0.0,1.0,0.0,0.0,0.0,1.0,1.0
Altererythrobacter,3,False,Altererythrobacter,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Altericroceibacterium,49,family,Sphingomonadaceae,0.0,1.0,0.0,0.0,0.0,1.0,1.0
Alterococcus,7,family,Opitutaceae,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Amaricoccus,69,family,Paracoccaceae,1.0,1.0,0.0,1.0,0.0,1.0,1.0
Amphiplicatus,2,family,Parvularculaceae,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Ampullimonas,1,False,Ampullimonas,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Anabaena,2,False,Anabaena,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Anaerocella,7,family,Rikenellaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anaerocolumna,3,False,Anaerocolumna,0.0,1.0,0.0,0.0,0.0,0.0,0.0
